GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,60,0,0,0,18,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,33,0,0,0,9,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,144,0,4,0,32,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,122,0,4,0,29,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,LogoutController,12,0,0,0,4,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,124,0,4,0,28,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,122,0,4,0,27,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,122,0,4,0,27,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,122,0,4,0,27,0,11,0,9,0
spring-boot-skeleton,com.nnk.springboot.services,CustomUserDetailsService,70,0,0,0,19,0,4,0,4,0
spring-boot-skeleton,com.nnk.springboot.services,RuleNameService,23,0,0,0,6,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.services,CurvePointService,23,0,0,0,6,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.services,BidListService,23,0,0,0,6,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.services,TradeService,23,0,0,0,6,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.services,RatingService,23,0,0,0,6,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot.config,PasswordConstraintValidator,14,0,2,0,5,0,4,0,3,0
spring-boot-skeleton,com.nnk.springboot.config,SecurityConfig,182,0,2,0,44,0,15,0,14,0
spring-boot-skeleton,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,218,0,40,0,6,0,35,0,15,0
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,298,0,56,0,8,0,47,0,19,0
spring-boot-skeleton,com.nnk.springboot.domain,BidList,866,0,152,0,23,0,125,0,49,0
spring-boot-skeleton,com.nnk.springboot.domain,Trade,858,0,168,0,22,0,131,0,47,0
spring-boot-skeleton,com.nnk.springboot.domain,User,235,0,46,0,6,0,38,0,15,0
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,258,0,48,0,9,0,41,0,17,0
